,0,1,2,3,4,5,6,7,8,9
tipo__tipo:Asoc,0.13251827886971065,0.26331461304645587,0.0053633541475732694,0.0018598100914719055,0.003738385118072134,0.0006899459083215167,0.010810724815205983,0.0003984455932688951,0.0022825890567634375,0.00015358377287073786
tipo__tipo:Coop,0.003684023931168583,0.0024664367465150835,0.18418922449382516,0.22923463262667268,0.008018078136759579,0.013960417766652768,0.0007599173252998469,0.014398632701377754,0.00017167322277899708,0.0031838719403556653
tipo__tipo:Fund,0.0006907881537675391,0.0008186033703248468,0.0006343726981855647,0.001337558504412498,0.13641326929783334,0.1601044873928023,0.11144470734265101,0.009655623076201002,0.009516734588136231,0.020359664639581405
tipo__tipo:Mutual,0.0011724649628377657,0.00032644360644089375,0.0001329987184733335,0.0011919856676772486,0.0006160244211739451,0.005627616558049515,0.0012794430259098742,0.09868377256415817,0.23438482110030429,0.07630437997160817
tipo__tipo:Otra,0.00645079552066659,0.00572242055880614,0.24829182387061202,0.21528693564812382,9.17149732959986e-05,0.006210065198731357,0.004241930785991948,7.486599894556096e-05,0.0065221234700566875,0.00010428128514271085
tipo__tipo:SA,0.014342178798720566,0.05593077623423988,0.0008289548063871887,0.017444618220906132,0.13952432110586732,0.0036506082694045747,0.07087930388723462,0.01851441730765812,0.005506579198054485,0.003512945970912946
tipo__tipo:SAS,0.2836732977227413,0.07620860299152904,0.001894729773667308,0.039093321057016815,0.01927673858893678,0.026823851565613933,0.01050246583363907,0.0006589867611337555,6.880132004227792e-05,0.0007973231857846749
tipo__tipo:SRL,0.0007092976425903507,0.04020495340078446,0.0008789309813735292,0.011646830931397642,0.10043394066276054,0.05438812310220472,0.05090325729718545,0.013672675375094298,0.0020620706746137295,0.0013908651490667872
subtipo__subtipo:agro,4.2653343489051955e-06,0.003235323662403706,0.005257784445173073,0.01827370161943247,0.1749932877248009,0.013748802360870971,3.368783586304107e-05,0.02114970793211447,0.047310948047920305,0.012544554898952147
subtipo__subtipo:commerce,0.0008879464813028622,0.0001585456725577979,0.0024901512224368475,0.014834628673800681,0.03662691194255615,0.014200185885948407,4.789549156511779e-05,0.03149369006391823,0.07044590955317648,0.06295163245232939
subtipo__subtipo:construction,0.0007083896867688362,0.00648496260137224,0.03872350065018191,0.052251635918876424,0.01705097589778685,0.0006135998448357433,0.061009532978399346,0.14509610355418698,0.0011166864033319783,0.0040761179992365604
subtipo__subtipo:education,0.06731507325475351,0.10433239735488205,0.00043048422349068973,0.0043852926332812805,0.022441060841871485,0.047329235642114484,5.415962542009589e-06,0.17509627048644355,0.011909608800331305,0.036376978655046466
