k,silhouette,calinski_harabasz,davies_bouldin,inertia,merge_height
3,0.36846276060954697,2171.7248731428444,1.3966905573723611,56248.90197982377,140.75664141972237
4,0.39509812777936626,2473.0162215555792,0.9756246829435837,46342.6859279436,126.05484086446292
5,0.40826298453081383,2731.826378901179,0.9233731354141966,38397.77447526105,112.93439203540434
6,0.3030582211250958,3062.3046983863915,0.9718952629071599,32020.68602305785,88.1579844716943
7,0.34056086843811734,3137.326352430362,1.1239449340716055,28134.77091000208,85.29407215154674
8,0.3641294043900536,3308.328722774116,1.0921770017676429,24497.231537905445,67.05039285367333
9,0.3744021653713458,3329.455694870832,1.029542782722389,22249.35394698948,62.93735096521476
10,0.3882748768993164,3366.4131313663956,0.998799872172816,20268.798873730164,52.457301989441724
