group,n,weight,between_contrib,within_T,shannon_H,dominant_tipo,dominant_pct
Buenos Aires,294209,0.2428621192910162,0.00962030988041316,0.5473767637945305,1.5320647778853056,SRL,35.96083056602619
CABA,443586,0.36616907044932245,0.03615406694435307,0.9034764748302867,1.1759650668495492,SA,45.59318824309153
Catamarca,5254,0.004337044668093087,0.0006804004373325135,0.550516441421077,1.5289251002587587,SRL,44.49942900647126
Chaco,17964,0.014828829542752992,0.0062438473200842354,0.28665390643315625,1.7927876352466794,SRL,27.326875974170562
Chubut,13287,0.010968083841825817,0.0010390632574733313,0.4433432058891682,1.6360983357906675,SRL,42.470083540302554
Corrientes,14309,0.011811719100826795,0.001145258510021614,0.37763725041133855,1.7018042912684974,SRL,38.115871130058004
Córdoba,97204,0.08023945373378767,0.014195086945396495,0.44296500026993674,1.6364765414098992,SRL,30.695238879058472
Entre Ríos,18902,0.015603124917452518,0.0019163828876794106,0.3920648862444143,1.6873766554354215,SRL,36.29245582478045
Formosa,5356,0.0044212430990305624,0.0015911641667382822,0.5005977613507,1.578843780329136,SRL,35.642270351008214
Jujuy,8977,0.007410287397310933,0.003590276787659497,0.40518380703655155,1.6742577346432843,SRL,30.08800267349894
La Pampa,8221,0.006786228438597881,0.00131832055983562,0.3931286480123003,1.6863128936675358,SRL,32.19802943680817
La Rioja,5388,0.004447658293050162,0.0011523253727051222,0.4653340126909402,1.6141075289888958,SRL,34.372680029695616
Mendoza,53702,0.044329648413767596,0.0075209793246316025,0.5302562069337323,1.5491853347461038,SA,41.51428252206622
Misiones,14270,0.011779525583115407,0.0021893676664886566,0.5327650517980479,1.5466764898817882,SRL,45.459004905395936
Neuquén,13907,0.01147987822595557,0.0011549835366723704,0.5198251203816581,1.5596164212981782,SRL,45.717983749191056
Río Negro,16066,0.013262078347465463,0.0019197381369232024,0.36111804939513664,1.7183234922846993,SRL,36.26913979833188
Salta,19916,0.016440156377948597,0.0032160073182796777,0.3972370207806228,1.6822045208992131,SRL,40.56537457320747
San Juan,13967,0.01152940671474232,0.0012736501492288587,0.4850082215241714,1.5944333201556646,SRL,41.734087491945296
San Luis,12393,0.010230109358903242,0.0009211960138313653,0.48465335756752176,1.5947881841123142,SRL,37.27910917453401
Santa Cruz,5835,0.004816645534511451,0.0007463348330631444,0.3108058540410782,1.7686356876387574,SRL,30.094258783204797
Santa Fe,87210,0.07198965845154133,0.005022934456305809,0.5914592452021703,1.4879822964776657,SRL,48.46577227382181
Santiago del Estero,11297,0.009325388963731938,0.0035316967371136435,0.5318973088865971,1.547544232793239,SRL,36.11578295122599
Tierra del Fuego,6099,0.005034570885173151,0.0005909016375410838,0.42186533553618394,1.6575762061436519,SRL,37.03885882931628
Tucumán,24105,0.01989807037007687,0.005117271156223175,0.3717320634060728,1.7077094782737632,SRL,39.688861232109524
