era,N,T_total,T_between,T_within,pct_between,pct_within
pre1990,214212,0.8376768680902451,0.0872567225755114,0.7504201455147337,10.416513323859744,89.58348667614025
menem,239339,0.9093321847662669,0.08215548925346132,0.8271766955128056,9.034705977615696,90.96529402238431
crisis,66107,0.8420768992999491,0.10012249561606104,0.7419544036838881,11.88994683256324,88.11005316743676
n_kirchner,148802,0.9187536227808338,0.09074986193976142,0.8280037608410724,9.877497044864395,90.1225029551356
c_kirchner,209556,0.9029049348298092,0.1153862609435977,0.7875186738862114,12.77944736954474,87.22055263045526
macri,125245,0.6774127186614687,0.12265403082807368,0.554758687833395,18.106248591026088,81.89375140897391
fernandez,141563,0.9475467701396671,0.2898840327518093,0.6576627373878579,30.593110745243823,69.40688925475618
milei,66600,1.1486803373093482,0.276244394454184,0.8724359428551642,24.048848533548924,75.95115146645108
