,shannon_H_milei,evenness_milei,sas_share_milei,coop_share_milei,provincial_diff,pda_per_100k,pct_with_account,pct_borrowers,hhi_empleo,puestos_total,agro_hhi,sown_ha,tasa_empleo,tasa_desocupacion
shannon_H_milei,1.0,0.9882741781473415,-0.8231932489295927,0.41573374140882874,-0.17151535300117696,-0.0991330111433942,0.33694961008048985,-0.18645605891091263,0.22401015208295416,0.1090290212057834,0.16973711618473236,-0.01258515644743398,-0.1083182943107232,-0.5194839528124823
evenness_milei,0.9882741781473415,1.0,-0.7936324362456798,0.4346354320531451,-0.16602391670020158,-0.09267838139767144,0.38900822212039415,-0.1658775278405601,0.24882373636859098,0.06081807129815326,0.1967836170121016,-0.09131934709763308,-0.10438382482699793,-0.585638217099879
sas_share_milei,-0.8231932489295927,-0.7936324362456798,1.0,-0.22897062892498907,-0.13439370197393186,-0.005969220115807498,-0.34736946796048707,0.023380297595117443,0.14615595983579222,-0.498683053971493,-0.013351991087198258,-0.3951488313930694,-0.019124272413410328,0.3847121167269305
coop_share_milei,0.41573374140882874,0.4346354320531451,-0.22897062892498907,1.0,0.005562212949740754,-0.3567462629435665,0.059826679907890624,-0.23155332498886938,0.4730932593910038,-0.1823355959231956,-0.17595866704626617,-0.20272979146330294,-0.3599467595162842,-0.14684820323076195
provincial_diff,-0.17151535300117696,-0.16602391670020158,-0.13439370197393186,0.005562212949740754,1.0,0.08670241189926306,0.0820037489295917,0.3281251380160583,-0.06043809199250258,0.28045669055009836,-0.055705300337440374,0.012840854743652713,0.13900471656917246,-0.04703590465670558
pda_per_100k,-0.0991330111433942,-0.09267838139767144,-0.005969220115807498,-0.3567462629435665,0.08670241189926306,1.0,0.2968562293520048,0.7577691764465728,-0.3530548656141564,-0.000684423924540831,-0.08839738648185039,0.14919218877558696,0.7275225463336702,-0.07344279423079035
pct_with_account,0.33694961008048985,0.38900822212039415,-0.34736946796048707,0.059826679907890624,0.0820037489295917,0.2968562293520048,1.0,0.48047916397451446,-0.09280512615425995,0.12875463144342092,0.038474868194875916,0.31288377908078735,0.3978955200641079,-0.6398814394575224
pct_borrowers,-0.18645605891091263,-0.1658775278405601,0.023380297595117443,-0.23155332498886938,0.3281251380160583,0.7577691764465728,0.48047916397451446,1.0,-0.17632386904228317,0.03177388495323755,-0.24554979242376432,0.2015935939994474,0.8119010334174265,-0.06750470626081197
hhi_empleo,0.22401015208295416,0.24882373636859098,0.14615595983579222,0.4730932593910038,-0.06043809199250258,-0.3530548656141564,-0.09280512615425995,-0.17632386904228317,1.0,-0.5505201250140555,-0.031296434709450226,-0.6742688132124275,-0.3180750280486054,-0.05765472706609785
puestos_total,0.1090290212057834,0.06081807129815326,-0.498683053971493,-0.1823355959231956,0.28045669055009836,-0.000684423924540831,0.12875463144342092,0.03177388495323755,-0.5505201250140555,1.0,-0.17517014987695523,0.8697262945333121,0.14523905469041437,0.1743423169921779
agro_hhi,0.16973711618473236,0.1967836170121016,-0.013351991087198258,-0.17595866704626617,-0.055705300337440374,-0.08839738648185039,0.038474868194875916,-0.24554979242376432,-0.031296434709450226,-0.17517014987695523,1.0,-0.2754081555662418,-0.2827885335552804,-0.13793003238651333
sown_ha,-0.01258515644743398,-0.09131934709763308,-0.3951488313930694,-0.20272979146330294,0.012840854743652713,0.14919218877558696,0.31288377908078735,0.2015935939994474,-0.6742688132124275,0.8697262945333121,-0.2754081555662418,1.0,0.3836427904985077,0.24355300576146285
tasa_empleo,-0.1083182943107232,-0.10438382482699793,-0.019124272413410328,-0.3599467595162842,0.13900471656917246,0.7275225463336702,0.3978955200641079,0.8119010334174265,-0.3180750280486054,0.14523905469041437,-0.2827885335552804,0.3836427904985077,1.0,-0.13955093004040126
tasa_desocupacion,-0.5194839528124823,-0.585638217099879,0.3847121167269305,-0.14684820323076195,-0.04703590465670558,-0.07344279423079035,-0.6398814394575224,-0.06750470626081197,-0.05765472706609785,0.1743423169921779,-0.13793003238651333,0.24355300576146285,-0.13955093004040126,1.0
