era_group,prov_type,n,centroid_ax1,centroid_ax2,cs_inertia,cs_eigenval_1,cs_eigenval_2,cs_pct_ax1,cs_pct_ax2
Kirchnerism,metropolitan,264199,-0.1554034415620362,-0.343020623491268,0.795871483377585,0.28639010348861677,0.21653569133229503,35.98446601871081,27.207369010552185
Kirchnerism,intermediate,66069,-0.19749343889068904,-0.21514802124672072,1.2145190294469552,0.4376614179569554,0.40151828332758804,36.035781024876115,33.059859384041424
Kirchnerism,peripheral,28090,-0.22830085224649835,-0.09440651755165336,1.5261634250053946,0.6500174452752447,0.45176972447973324,42.59160156933699,29.60166107231513
Macri,metropolitan,94343,0.5988698733907256,0.2316249843467362,1.056197086773565,0.39533528398992107,0.26927152985628083,37.43006763989265,25.494439743139452
Macri,intermediate,22732,0.5959474467224197,0.33730391939612286,1.3312159761492897,0.44117751234736247,0.3684878932815979,33.14094183451164,27.680549203405423
Macri,peripheral,8170,0.4088706404238077,0.35305587654759907,1.5402041383216003,0.5127528881955269,0.3522664696984368,33.29122909345554,22.871414310203743
Fernandez,metropolitan,98365,0.6531874711417055,0.3497414025816956,1.1315787016839935,0.31469468683970137,0.2755123206340607,27.81023417738234,24.34760571439252
Fernandez,intermediate,30693,0.9479126370334489,0.5847156941796613,1.4293207767544969,0.542725089052436,0.315587023886639,37.97083886828965,22.07951000357178
Fernandez,peripheral,12505,0.7024495481285354,0.48902355873334524,1.7534005895148348,0.6453471997577463,0.47225966003552416,36.805462688723836,26.933928439376093
Milei,metropolitan,48976,1.006709533432562,0.578033420772309,1.0854477161783709,0.3486844768496474,0.3016983345373787,32.1235626232916,27.79482881032667
Milei,intermediate,14142,1.410791934815432,0.8193090119378695,1.0661553920121873,0.42525024406299766,0.2524218172252749,39.88632869552064,23.6758936939644
Milei,peripheral,3482,1.1438126954665355,0.7161626865986406,1.4563763722302954,0.5150692364224978,0.35576509515493693,35.36649222300418,24.428101275092654
