prov_type,Asoc,Coop,Fund,Mutual,Otra,SA,SAS,SRL
intermediate,16.1,6.5,3.4,0.4,4.2,21.2,14.7,33.5
metropolitan,9.2,3.2,1.1,0.4,4.9,36.3,5.5,39.5
peripheral,23.8,13.1,6.1,0.4,3.5,10.6,6.6,35.9
