axis,eigenvalue_raw,pct_raw,eigenvalue_benzecri,pct_benzecri,cum_benzecri
1,0.3847946510027233,13.23522512908327,0.032301507447015064,49.145404549860864,49.145404549860864
2,0.3647160587890155,12.5446108299214,0.023395154033928625,35.59475703694998,84.74016158681084
3,0.3087553168353291,10.619810118119581,0.006137221789190943,9.337528539086238,94.07769012589708
4,0.283964281413774,9.767108724967843,0.002050795399029394,3.120200185691535,97.19789031158861
5,0.2741829025062897,9.430672780299512,0.00103966715311771,1.5818104749750186,98.77970078656362
6,0.2651565417012825,9.120206101411718,0.00040839245572038297,0.6213521918260833,99.4010529783897
7,0.26276816200237,9.038056458929772,0.00028982393052224994,0.44095509589175425,99.84200807428145
8,0.2551756300047785,8.776907115959355,4.7621592793535054e-05,0.07245427932383665,99.91446235360529
9,0.25459010554668826,8.756767677946861,3.7456122541757044e-05,0.056987937736445116,99.97145029134174
10,0.2532488678150744,8.710635063360685,1.8764697030802152e-05,0.02854970865824294,99.99999999999999
