,0,1,2,3,4,5,6,7,8,9
tipo__tipo:Asoc,-1.3399047722616604,1.83880828260892,0.24146099577593513,-0.1363602174577338,0.18996943531569324,0.08025650111619688,-0.31625347436367957,-0.05983091426259373,0.14303955600264823,-0.03700564256489755
tipo__tipo:Coop,0.35745066436600625,-0.28474283730980215,2.2640171183770357,2.4222130937205737,-0.4451390565095872,0.5776180479833396,-0.13415594375538809,-0.5754672311027281,-0.0627642602772034,0.2695826425260631
tipo__tipo:Fund,0.24081900456912936,0.25522194283246413,0.20672036705674307,0.28786711436257917,2.856618842911336,3.043383826891909,2.5276672341705457,0.7331849689906387,-0.7270571376950099,-1.0606274658953785
tipo__tipo:Mutual,-0.7009892039086829,0.36010438193819944,-0.21148415294413048,0.6071755208197369,-0.4289098588094253,-1.2748535625719357,-0.605123092726703,5.237081701205822,-8.061806715535193,4.5877037915001235
tipo__tipo:Otra,0.4587418055660738,0.42064380552679465,-2.5493860227086107,2.2766059387722164,0.04617293434266781,-0.3736340276929715,0.30740811596013295,0.04024473558257236,0.3751996609174595,-0.04731775291876504
tipo__tipo:SA,-0.26285455285737713,-0.5053546786577888,-0.0566064701197884,-0.24903249333971092,-0.6920517452279722,0.11008476358394693,0.4828803333160412,0.24320250641381952,0.1324814674131402,-0.10553655556202711
tipo__tipo:SAS,2.4746445216211455,1.24872993683913,-0.18116318300392567,-0.7891730050927891,-0.5445353068445582,0.6316853747236875,-0.3934785756062903,-0.09712857631042915,-0.03134788365162941,0.10643391399044577
tipo__tipo:SRL,0.053458150860585356,-0.39183424164853653,0.05330522366338877,-0.18608908661662674,0.5369645282354089,-0.3885870916925303,-0.37423492874152936,-0.1911311663538187,-0.07414087282396173,0.0607297411018234
subtipo__subtipo:agro,-0.016785893639673193,-0.45008000937352277,0.5279125965821003,0.9438403419695756,-2.8700158412597894,0.791110267944347,-0.038983097275494885,-0.9625542120207855,1.4379871319967166,-0.7385073095819276
subtipo__subtipo:commerce,-0.31192091156969,-0.12831907559355343,-0.4679039013601312,-1.0952336552012503,-1.6910518344614591,-1.0354634429692038,-0.059864625780276494,-1.5127527648542451,-2.259879246820225,2.130658453481944
subtipo__subtipo:construction,0.20305307367658082,-0.598122473797448,1.3447868940445018,1.4980997918683008,-0.8409181862163794,0.15687463685044312,-1.557199163580977,-2.366499476190374,-0.20736970723992731,0.3951446170459944
