"era","era_es","SA","SAS","SRL"
"pre1990","Pre-1990",55.6503322960586,0.0155916039212884,44.3340761000201
"menem","Menem",45.4486352613384,0.0149631081987514,54.5364016304628
"crisis","Crisis",51.2526446918316,0.0257054159334032,48.721649892235
"n_kirchner","N. Kirchner",47.4174886585924,0.0399550505681109,52.5425562908395
"c_kirchner","C. Kirchner",43.8183953616992,0.0677350998315944,56.1138695384692
"macri","Macri",25.1264989997754,28.4502401608917,46.4232608393329
"fernandez","Fernández",24.592003167809,34.0030358169836,41.4049610152074
"milei","Milei",18.0936276254895,40.7030971876112,41.2032751868993
