"era","era_es","n","anios","altas_anio","asoc_anio","coop_anio","pct_asociativa","pct_capital","pct_patrimonial"
"pre1990","Pre-1990",214071,89,2405.29213483146,485.786516853933,53.0786516853933,20.1965702967707,71.905582727226,7.89784697600329
"menem","Menem",239339,10,23933.9,3545.7,651.2,14.8145517445966,80.9771913478372,4.20825690756626
"crisis","Crisis",66107,3,22035.6666666667,4203,666,19.073623065636,76.5017320404798,4.42464489388416
"n_kirchner","N. Kirchner",148802,5,29760.4,4717.6,1450.4,15.8519374739587,80.7348019515867,3.41326057445464
"c_kirchner","C. Kirchner",209556,8,26194.5,4938.5,2268.625,18.8531943728645,76.7914065929871,4.35539903414839
"macri","Macri",125245,4,31311.25,3014.25,520.25,9.62673160605214,74.6369116531598,15.7363567407881
"fernandez","Fernández",141563,4,35390.75,6027.25,2951.5,17.0305800244414,74.9256514767277,8.04376849883091
"milei","Milei",65361,2,32680.5,2567.5,616.5,7.85636694665014,85.9533972858432,6.19023576750662
