"provincia","region","era","H","n"
"Río Negro","patagonia","menem",1.38043567586185,2533
"Río Negro","patagonia","crisis",1.52203966037758,740
"Río Negro","patagonia","n_kirchner",1.39669895935195,1909
"Río Negro","patagonia","c_kirchner",1.37740161900219,2979
"Río Negro","patagonia","macri",1.59825677246318,2209
"Río Negro","patagonia","fernandez",1.4230346236913,2309
"Río Negro","patagonia","milei",1.02624668247313,1061
"Salta","noa","pre1990",1.3991328607465,2074
"Salta","noa","menem",1.32014540756965,3269
"Salta","noa","crisis",1.42321677208194,1083
"Salta","noa","n_kirchner",1.37828580317428,2548
"Salta","noa","c_kirchner",1.39991579748217,3890
"Salta","noa","macri",1.61531325996609,1975
"Salta","noa","fernandez",1.58665690327372,3611
"Salta","noa","milei",1.22235706307365,1456
"San Juan","cuyo","pre1990",1.38402778699523,2118
"San Juan","cuyo","menem",1.16931085074423,2809
"San Juan","cuyo","crisis",1.39232123120687,735
"San Juan","cuyo","n_kirchner",1.3984495843419,1784
"San Juan","cuyo","c_kirchner",1.23062047640933,2318
"San Juan","cuyo","macri",1.53293903508256,1476
"San Juan","cuyo","fernandez",1.26648931445735,1911
"San Juan","cuyo","milei",0.690750856174666,816
"San Luis","cuyo","pre1990",1.14276241447402,1948
"San Luis","cuyo","menem",1.28822618353521,1699
"San Luis","cuyo","crisis",1.12563700739778,874
"San Luis","cuyo","n_kirchner",1.18984868188911,1454
"San Luis","cuyo","c_kirchner",1.36375970488288,2774
"San Luis","cuyo","macri",1.48378298223037,1336
"San Luis","cuyo","fernandez",1.4354500441587,1503
"San Luis","cuyo","milei",1.07965141941252,798
"Santa Cruz","patagonia","pre1990",1.45896218711072,644
"Santa Cruz","patagonia","menem",1.42177545239904,897
"Santa Cruz","patagonia","crisis",1.43782058041064,398
"Santa Cruz","patagonia","n_kirchner",1.47359331239305,967
"Santa Cruz","patagonia","c_kirchner",1.47832179631214,1179
"Santa Cruz","patagonia","macri",1.7301174757422,605
"Santa Cruz","patagonia","fernandez",1.6476120345362,771
"Santa Cruz","patagonia","milei",1.46586976263366,374
"Santa Fe","pampeana","pre1990",1.43466064505819,17706
"Santa Fe","pampeana","menem",1.16185790074564,16542
"Santa Fe","pampeana","crisis",1.28597933713857,4857
"Santa Fe","pampeana","n_kirchner",1.23280276243393,10963
"Santa Fe","pampeana","c_kirchner",1.27167563292706,13973
"Santa Fe","pampeana","macri",1.60460360098455,9409
"Santa Fe","pampeana","fernandez",1.71169790149865,9964
"Santa Fe","pampeana","milei",1.5709990684794,3720
"Santiago del Estero","noa","pre1990",1.42179280079034,1140
"Santiago del Estero","noa","menem",1.39949071706557,1902
"Santiago del Estero","noa","crisis",1.46331655592477,610
"Santiago del Estero","noa","n_kirchner",1.34065878763492,1595
