"serie","kirchnerismo","milei","cambio_pct"
"total de altas",27566,32680.5,18.5536530508598
"bloque asociativo",4853.53846153846,2567.5,-47.1004501077723
"cooperativas",1953.92307692308,616.5,-68.4480925947797
"asociaciones civiles",2781.92307692308,1915.5,-31.1447532144339
"mutuales",117.692307692308,35.5,-69.8366013071895
