"ventana","anios","n","pct_asociativa","asoc_anio","pct_kirchnerismo","retencion"
"Milei 2024-2025",2,65361,7.85636694665014,2567.5,17.606974031555,0.446207675013892
"Milei sólo 2024",1,33076,9.14258072318297,3024,17.606974031555,0.519259056485103
