"tipo","clae_sec","peso","dim1","dim2","dim3","dim4","dim5"
"Asoc","A",422,-1.03005036872191,-0.547340754409513,-0.241928285263585,0.61844562628481,0.628874415921726
"Asoc","B",3,-1.00498776572035,-0.540769905559488,-0.259716337649974,0.479846394515751,1.04920064851274
"Asoc","C",282,-1.02730961770907,-0.201790055109469,-0.113784295899588,-0.637283601381375,0.474298198906657
"Asoc","D",7,-1.13668541323003,1.196645706605,-1.89719984705353,0.37041313394504,0.54666590584361
"Asoc","E",80,-1.0780610683688,0.410129851060383,-0.490833521150287,-0.947856552593926,0.212222716733189
"Asoc","F",223,-1.12146507817801,1.40692087608498,-0.406174147209711,0.0293450683736407,0.68877452165214
"Asoc","G",613,-1.01540957994437,-0.320505202953979,0.686692563035064,0.260221755717403,0.793955610912036
"Asoc","H",406,-1.01816248636371,-0.380740771115023,0.203964281915688,-0.908227102834464,0.301234739135429
"Asoc","I",126,-1.01138919342805,-0.223265581413035,0.823787019071365,-0.100351044746534,0.840760796141787
"Asoc","J",315,-1.02487950997411,-0.227279025807622,0.234013272008953,-0.857116924400951,0.447583394553476
"Asoc","K",304,-1.06289702548041,-0.537539536754207,-1.15218779519711,0.154937994380582,0.649293870040193
"Asoc","L",198,-0.998873562254964,-1.14223615709101,-1.27010584352229,0.340338107864073,0.758846843505449
"Asoc","M",1077,-1.04510958511624,-0.529103777333466,-0.192069915482122,-0.12584685906291,0.422712271751759
"Asoc","N",465,-1.04947651806301,-0.0980813988753866,0.317783902115309,0.451952883453875,1.00707678847292
"Asoc","O",701,-2.29889444399667,-0.66603482367876,0.392374899117599,0.530656850220695,-0.615433662542095
"Asoc","P",4019,-1.67475538230666,-0.481459610586082,0.395939738198238,0.0187379626004123,-1.91024000243419
"Asoc","Q",1987,-1.26632669141347,-0.383220995889151,0.729036202843891,0.548837956555692,-0.7448318681976
"Asoc","R",43949,-2.14288361485758,-0.527934331267101,0.150587002161503,-0.653328334227982,1.59761794960227
"Asoc","S",72925,-2.51072605804001,-0.157651580105806,-0.0118827834681162,0.0593911053354372,0.21421095626024
"Asoc","T",101,-2.25333939642982,-0.552649159091191,0.058240450678823,0.777683139919796,-2.29517687060678
"Asoc","Z",1060,-1.09067924978493,-0.70366128669134,-0.467748562880464,-0.743270946045999,0.226402107963688
"Coop","A",2234,-0.044463630912294,1.82089303289472,-1.1552809866861,1.06888348354958,0.0305934907289623
"Coop","B",65,-0.0194010279108158,1.82746388174473,-1.17306903907249,0.930284251780576,0.450919723320013
"Coop","C",4911,-0.0417228798994799,2.16644373219476,-1.02713699732209,-0.186845744116597,-0.123982726286102
"Coop","D",602,-0.151098675420426,3.56487949390922,-2.81055254847604,0.820850991209821,-0.0516150193491498
"Coop","E",1275,-0.0924743305591925,2.77836363836461,-1.4041862225728,-0.497418695329157,-0.386058208459573
"Coop","F",14029,-0.135878340368427,3.77515466338921,-1.31952684863222,0.479782925638416,0.0904935964593789
"Coop","G",2266,-0.0298228421347814,2.04772858435025,-0.226660138387442,0.710659612982182,0.195674685719277
"Coop","H",1770,-0.0325757485541187,1.9874930161892,-0.709388419506817,-0.457789245569686,-0.297046186057327
"Coop","I",392,-0.0258024556184624,2.14496820589119,-0.0895656823511394,0.350086812518243,0.242479870949029
"Coop","J",1616,-0.039292772164523,2.1409547614966,-0.679339429413554,-0.406679067136172,-0.150697530639282
"Coop","K",892,-0.0773102876708248,1.83069425055002,-2.06554049661961,0.60537585164536,0.0510129448474349
"Coop","L",69,-0.0132868244453731,1.22599763021322,-2.1834585449448,0.790775965128853,0.160565918312688
"Coop","M",1710,-0.0595228473066543,1.83913000997076,-1.10542261690463,0.324590998201868,-0.175568653440999
"Coop","N",1375,-0.0638897802534179,2.27015238842884,-0.595568799307197,0.902390740718653,0.408795863280157
"Coop","O",65,-1.31330770618709,1.70219896362547,-0.520977802304908,0.981094707485474,-1.21371458773485
"Coop","P",530,-0.689168644497071,1.88677417671814,-0.51741296322427,0.469175819865191,-2.50852092762695
"Coop","Q",414,-0.280739953603885,1.98501279141508,-0.184316498578616,0.999275813820469,-1.34311279339036
"Coop","R",4060,-1.15729687704799,1.84029945603713,-0.762765699261005,-0.202890476963204,0.999337024409514
"Coop","S",11438,-1.52513932023042,2.21058220719842,-0.925235484890623,0.509828962600215,-0.384069968932519
"Coop","T",14,-1.26775265862024,1.81558462821304,-0.855112250743683,1.22812099718458,-2.89345779579954
"Coop","Z",505,-0.105092511975339,1.66457250061289,-1.38110126430297,-0.292833088781221,-0.371878817229072
"Fund","A",42,-0.92558731593287,-0.502253635353479,-0.0275578126008148,1.49728772239205,-3.01894854580412
"Fund","B",1,-0.90052471293139,-0.495682786503466,-0.0453458649872078,1.35868849062304,-2.59862231321307
"Fund","C",26,-0.922846564920054,-0.156702936053435,0.10058617676319,0.241558494725869,-3.17352476281918
"Fund","D",1,-1.032222360441,1.24173282566103,-1.68282937439075,1.24925523005228,-3.10115705588223
"Fund","E",10,-0.973598015579772,0.455216970116413,-0.27646304848752,-0.0690144564866907,-3.43560024499266
"Fund","F",6,-1.017002025389,1.45200799514102,-0.191803674546938,0.908187164480881,-2.9590484400737
"Fund","G",52,-0.910946527155358,-0.275418083897946,0.901063035697841,1.13906385182465,-2.85386735081381
"Fund","H",4,-0.913699433574694,-0.33565365205899,0.418334754578466,-0.0293850067272204,-3.34658822259041
"Fund","I",5,-0.906926140639037,-0.178178462357003,1.03815749173414,0.778491051360709,-2.80706216558405
"Fund","J",37,-0.920416457185097,-0.182191906751589,0.448383744671729,0.0217251717062924,-3.20023956717236
"Fund","K",8,-0.9584339726914,-0.492452417698175,-0.93781732253433,1.03378009048783,-2.99852909168565
"Fund","L",8,-0.894410509465948,-1.09714903803497,-1.05573537085951,1.21918020397132,-2.88897611822039
"Fund","M",637,-0.94064653232723,-0.484016658277433,0.0223005571806541,0.752995237044333,-3.22511068997408
"Fund","N",201,-0.945013465273993,-0.0529942798193514,0.532154374778086,1.33079497956112,-2.64074617325292
"Fund","O",167,-2.19443139120766,-0.620947704622727,0.606745371780374,1.40949894632794,-4.26325662426794
"Fund","P",1899,-1.57029232951765,-0.43637249153005,0.610310210861013,0.897580058707656,-5.55806296416003
"Fund","Q",1477,-1.16186363862446,-0.338133876833118,0.943406675506667,1.42768005266293,-4.39265482992344
"Fund","R",4650,-2.03842056206857,-0.482847212211068,0.364957474824278,0.225513761879262,-2.05020501212357
"Fund","S",12260,-2.40626300525099,-0.112564461049774,0.20248768919466,0.938233201442681,-3.4336120054656
"Fund","T",33,-2.14887634364081,-0.507562040035155,0.272610923341599,1.65652523602704,-5.94299983233262
"Fund","Z",115,-0.986216196995913,-0.658574167635308,-0.253378090217688,0.135571150061244,-3.42142085376215
"Mutual","A",14,-1.06968694493342,-0.202873221528082,-0.480630970904129,1.74348488806053,-1.78474396116536
"Mutual","C",6,-1.0669461939206,0.142677477771961,-0.352486981540124,0.487755660394353,-1.93932017818042
"Mutual","D",1,-1.17632198944155,1.54111323948642,-2.13590253269407,1.49545239572077,-1.86695247124347
"Mutual","F",30,-1.16110165438955,1.75138840896641,-0.644876832850253,1.15438433014937,-1.72484385543494
"Mutual","G",38,-1.0550461561559,0.02396232992745,0.447989877394527,1.38526101749313,-1.61966276617505
"Mutual","H",7,-1.05779906257524,-0.0362732382335934,-0.0347384037248482,0.216812158941264,-2.11238363795165
"Mutual","I",3,-1.05102576963959,0.121201951468394,0.58508433343083,1.02468821702919,-1.57285758094529
"Mutual","J",10,-1.06451608618565,0.117188507073808,-0.00468941363158545,0.267922337374778,-1.96603498253361
