"year","altas_Buenos Aires","altas_CABA","pct_sas_Buenos Aires","pct_sas_CABA"
2017,8340,9578,1.93045563549161,10.3570682814784
2018,8081,11339,21.4453656725653,33.971249669283
2019,7702,11207,30.1739807842119,37.8602659052378
2020,6223,7973,20.4885103647758,14.1477486516995
2021,8003,9384,13.1700612270399,2.15260017050298
2022,8863,9498,2.16630937605777,1.35818066961466
2023,9242,10607,0.74659164682969,1.23503346846422
2024,7203,9874,3.31806191864501,11.535345351428
2025,6730,11340,6.90936106983655,21.031746031746
