"era","era_es","n","H_completo","H_fusion","H_sin_sas"
"pre1990","Pre-1990",214071,1.36887085810992,1.36786712172695,1.36789233482097
"menem","Menem",239339,1.26059279961636,1.2594779206338,1.25953152794534
"crisis","Crisis",66107,1.3302630873411,1.32858222554791,1.32864950140489
"n_kirchner","N. Kirchner",148802,1.28175149873617,1.27911217816268,1.27924838362467
"c_kirchner","C. Kirchner",209556,1.36138787932953,1.35737227040933,1.35764099923964
"macri","Macri",125245,1.64659057164935,1.27549600723195,1.43405848009492
"fernandez","Fernández",141563,1.71062241598698,1.32172101418051,1.53389865249358
"milei","Milei",65361,1.47837560597372,0.990404040113744,1.27820725666029
