"predictor","resultado","n","r","ic_inf","ic_sup","t","p","rho"
"densidad previa","participación asociativa bajo Milei",24,0.139050308745384,-0.280055390367237,0.513635927577672,0.658601867054023,0.516985520280599,0.0721739130434783
"densidad previa","Shannon H bajo Milei",24,0.0828714781995736,-0.331611014860493,0.47053806212943,0.390043341668134,0.700255204194825,-0.0269565217391304
"densidad previa","retención asociativa",24,-0.084926961103067,-0.472148223678518,0.329767332340918,-0.399787115918717,0.693168374030509,-0.202608695652174
"composición previa","participación asociativa bajo Milei",24,0.408880188891824,0.00656657628319596,0.697268747878558,2.10151561085015,0.0472716417537132,0.385217391304348
"densidad previa","composición previa",24,0.489996920136768,0.107934977530598,0.745947333644579,2.63648682823489,0.0150734370507485,0.497391304347826
