"provincia","region","tipo","n","pct"
"Salta","noa","SA",87,5.97527472527473
"Salta","noa","SAS",868,59.6153846153846
"Salta","noa","SRL",328,22.5274725274725
"San Juan","cuyo","Asoc",9,1.10294117647059
"San Juan","cuyo","Coop",12,1.47058823529412
"San Juan","cuyo","Fund",1,0.122549019607843
"San Juan","cuyo","Otra",3,0.367647058823529
"San Juan","cuyo","SA",17,2.08333333333333
"San Juan","cuyo","SAS",649,79.5343137254902
"San Juan","cuyo","SRL",125,15.3186274509804
"San Luis","cuyo","Asoc",106,13.2832080200501
"San Luis","cuyo","Coop",10,1.2531328320802
"San Luis","cuyo","Fund",28,3.50877192982456
"San Luis","cuyo","Mutual",1,0.12531328320802
"San Luis","cuyo","Otra",3,0.37593984962406
"San Luis","cuyo","SA",17,2.13032581453634
"San Luis","cuyo","SAS",534,66.9172932330827
"San Luis","cuyo","SRL",99,12.406015037594
"Santa Cruz","patagonia","Asoc",20,5.3475935828877
"Santa Cruz","patagonia","Coop",66,17.6470588235294
"Santa Cruz","patagonia","Fund",8,2.13903743315508
"Santa Cruz","patagonia","Otra",9,2.40641711229947
"Santa Cruz","patagonia","SA",20,5.3475935828877
"Santa Cruz","patagonia","SAS",177,47.3262032085562
"Santa Cruz","patagonia","SRL",74,19.7860962566845
"Santa Fe","pampeana","Asoc",434,11.6666666666667
"Santa Fe","pampeana","Coop",87,2.33870967741935
"Santa Fe","pampeana","Fund",46,1.23655913978495
"Santa Fe","pampeana","Mutual",13,0.349462365591398
"Santa Fe","pampeana","Otra",401,10.7795698924731
"Santa Fe","pampeana","SA",345,9.2741935483871
"Santa Fe","pampeana","SAS",823,22.1236559139785
"Santa Fe","pampeana","SRL",1571,42.2311827956989
"Santiago del Estero","noa","Asoc",178,25.4285714285714
"Santiago del Estero","noa","Coop",161,23
"Santiago del Estero","noa","Fund",2,0.285714285714286
"Santiago del Estero","noa","Mutual",1,0.142857142857143
"Santiago del Estero","noa","Otra",4,0.571428571428571
"Santiago del Estero","noa","SA",8,1.14285714285714
"Santiago del Estero","noa","SAS",247,35.2857142857143
"Santiago del Estero","noa","SRL",99,14.1428571428571
"Tierra del Fuego","patagonia","Asoc",30,6.10997963340122
"Tierra del Fuego","patagonia","Coop",17,3.46232179226069
"Tierra del Fuego","patagonia","Fund",6,1.22199592668024
"Tierra del Fuego","patagonia","Mutual",1,0.203665987780041
"Tierra del Fuego","patagonia","Otra",12,2.44399185336049
"Tierra del Fuego","patagonia","SA",16,3.25865580448065
"Tierra del Fuego","patagonia","SAS",373,75.9674134419552
"Tierra del Fuego","patagonia","SRL",36,7.33197556008147
"Tucumán","noa","Asoc",51,3.07228915662651
"Tucumán","noa","Coop",84,5.06024096385542
"Tucumán","noa","Fund",160,9.63855421686747
"Tucumán","noa","Mutual",2,0.120481927710843
"Tucumán","noa","Otra",11,0.662650602409639
"Tucumán","noa","SA",19,1.14457831325301
"Tucumán","noa","SAS",1162,70
"Tucumán","noa","SRL",171,10.3012048192771
