"era","era_es","n","T_total","T_entre","T_nacional","pct_entre"
"pre1990","Pre-1990",214071,0.797699389507979,0.0871287059380669,0.710570683569912,10.9224987613201
"menem","Menem",239339,0.901004231316938,0.0821554892534613,0.818848742063476,9.11821347757492
"crisis","Crisis",66107,0.849300949954795,0.100122495616061,0.749178454338734,11.7888123899296
"n_kirchner","N. Kirchner",148802,0.888439904883423,0.0907498619397614,0.797690042943661,10.2145188932806
"c_kirchner","C. Kirchner",209556,0.833439923293906,0.115386260943598,0.718053662350308,13.8445804812866
"macri","Macri",125245,0.555505000858563,0.122654030828074,0.432850970030489,22.0797347707951
"fernandez","Fernández",141563,0.658703158444665,0.289884032751809,0.368819125692856,44.0082955479196
"milei","Milei",65361,0.878921915157016,0.277855979450901,0.601065935706115,31.6132724260566
