"year","n","H","pct_asociativa","pct_capital","pct_sas"
1990,17431,1.22379986822114,12.3745051918995,82.9728644369227,0.0172107165394986
1991,23900,1.18023495807458,10.2092050209205,85.5899581589958,0.0167364016736402
1992,27490,1.17930879069638,11.8734085121863,84.7399054201528,0.00727537286285922
1993,26599,1.18982716831288,13.1132749351479,84.0106770931238,0.0112786194969736
1994,26486,1.2244167520263,14.5397568526769,82.1830400966548,0.0113267386543834
1995,22055,1.25668872301347,16.1686692360009,79.7460893221492,0.0045341192473362
1996,24309,1.27978468030859,16.7304290591962,78.7403842198363,0.0205685137191986
1997,23863,1.33228932979465,18.0740057830114,76.9308133931191,0.00838117587897582
1998,23931,1.3169122486247,16.8944047469809,77.8571727048598,0.00417868037273829
1999,23275,1.34903225801127,18.3372717508056,76.3222341568206,0.0214822771213749
2000,23848,1.33592203816418,19.4355920831936,75.4444817175444,0.012579671251258
2001,20379,1.33074015363854,19.417046960106,76.2991314588547,0.0245350606015997
2002,21880,1.31839185628244,18.3592321755027,77.8427787934186,0.0228519195612431
2003,30430,1.27326591609238,15.6884653302662,80.9530069010844,0.0361485376273414
2004,29634,1.33356648856669,18.7757305797395,77.7046635621246,0.0269960180873321
2005,28425,1.30237576403335,16.9744942832014,79.584872471416,0.0351802990325418
2006,30243,1.26057955296627,14.8431041893992,81.8404258836756,0.0363720530370664
2007,30070,1.23056431443407,13.0894579314932,83.4752244762221,0.0266045892916528
2008,27453,1.2299705844042,12.7891305139693,83.5391396204422,0.029140713218956
2009,26293,1.39806566786398,22.325333739018,73.9626516563344,0.034229642870726
2010,27309,1.29924591883242,15.6981214984071,80.4862865721923,0.0659123365923322
2011,27755,1.27698242341934,14.7072599531616,81.3186813186813,0.0504413619167718
2012,29964,1.39775286237452,27.0491256174076,69.6502469630223,0.0533974102256041
2013,23666,1.30456521554038,17.0075213386293,79.083917856841,0.0676075382405138
2014,24484,1.41996013283992,25.8944616892665,69.8987093612155,0.0530958993628492
2015,22632,1.3645882927226,14.5281018027572,76.3962530929657,0.0662778366914104
2016,27461,1.41563602473111,10.2545428061615,67.4046830049889,0.0873966716434216
2017,30843,1.55583117415123,9.94715170379016,68.2294199656324,6.26398210290828
2018,32700,1.58074667191384,8.99694189602446,80.0825688073395,31.4831804281346
2019,34241,1.54910417861854,9.43605618994772,81.008148126515,41.8912999036243
2020,28681,1.66554166510049,12.9807189428542,78.1492974443011,32.422161012517
2021,35472,1.69305973671419,14.718651330627,76.5702525935949,25.7216959855661
2022,38061,1.75221822087981,20.9400698878117,70.7548409132708,22.1486561046741
2023,39349,1.69269019128486,18.2850898370988,75.1277033723856,23.4135556176777
2024,33076,1.50701302326041,9.14258072318297,84.2997944128673,32.4555568992623
2025,32285,1.44261110487296,6.53864023540344,87.6475143255382,37.5778225181973
