"eje","valor_propio","pct_bruto","pct_acum_bruto","pct_modificado","pct_acum_modificado","pct_inercia_ca"
1,0.895510752765978,6.63341298345169,6.63341298345169,83.3376235221146,83.3376235221146,83.3376235221146
2,0.609605488471522,4.51559621090017,11.1490091943519,6.40013485996539,89.73775838208,6.4001348599653
3,0.602731360314581,4.46467674307097,15.6136859374228,5.6225146951565,95.3602730772365,5.62251469515659
4,0.567028183673566,4.20020876795234,19.8138947053752,2.39353302244943,97.7538060996859,2.39353302244944
5,0.547190879304107,4.05326577262302,23.8671604779982,1.18642601416369,98.9402321138496,1.1864260141637
6,0.538469403505619,3.98866224818977,27.855822726188,0.788415994440401,99.72864810829,0.78841599444038
7,0.522568576446849,3.87087834405074,31.7267010702387,0.27135189170999,100,0.271351891710007
8,0.5,3.70370370370371,35.4304047739424,6.5666668128329e-30,100,NA
9,0.5,3.70370370370371,39.1341084776461,6.5666668128329e-30,100,NA
10,0.5,3.70370370370371,42.8378121813498,6.5666668128329e-30,100,NA
11,0.5,3.70370370370371,46.5415158850535,6.5666668128329e-30,100,NA
12,0.5,3.70370370370371,50.2452195887572,6.5666668128329e-30,100,NA
13,0.5,3.70370370370371,53.9489232924609,6.5666668128329e-30,100,NA
14,0.5,3.7037037037037,57.6526269961646,NA,NA,NA
15,0.5,3.7037037037037,61.3563306998683,NA,NA,NA
16,0.5,3.7037037037037,65.060034403572,NA,NA,NA
17,0.5,3.7037037037037,68.7637381072757,NA,NA,NA
18,0.5,3.7037037037037,72.4674418109795,NA,NA,NA
19,0.5,3.7037037037037,76.1711455146831,NA,NA,NA
20,0.5,3.7037037037037,79.8748492183869,NA,NA,NA
21,0.47743142355315,3.53652906335667,83.4113782817435,NA,NA,NA
22,0.461530596494381,3.41874515921764,86.8301234409612,NA,NA,NA
23,0.452809120695893,3.35414163478439,90.1842650757456,NA,NA,NA
24,0.432971816326434,3.20719863945507,93.3914637152006,NA,NA,NA
25,0.397268639685418,2.94273066433643,96.3341943795371,NA,NA,NA
26,0.390394511528478,2.89181119650724,99.2260055760443,NA,NA,NA
27,0.10448924723402,0.773994423955702,100,NA,NA,NA
28,7.06433416424732e-31,5.23284012166468e-30,100,NA,NA,NA
29,6.44575792221301e-32,4.77463549793556e-31,100,NA,NA,NA
